freq,input power measured from a -10dBm input multiplied by -1,,,,,ADC Serial No: 004 (Ratty2 Box)
0,24.7,,,,,
10,24.7,,,,,
20,24.7,,,,,
30,24.6,,,,,
40,25,,,,,
50,27.3,,,,,
60,28.6,,,,,
70,25.5,,,,,
80,24.7,,,,,
90,24.7,,,,,
100,24.8,,,,,
110,24.9,,,,,
120,24.9,,,,,
130,24.9,,,,,
140,24.9,,,,,
150,25.2,,,,,
160,26.8,,,,,
170,30.6,,,,,
180,26.4,,,,,
190,25.2,,,,,
200,25.1,,,,,
210,25.1,,,,,
220,25.1,,,,,
230,25.1,,,,,
240,25.1,,,,,
250,25.2,,,,,
260,25.3,,,,,
270,26.3,,,,,
280,30.1,,,,,
290,27.5,,,,,
300,25.6,,,,,
310,25.4,,,,,
320,25.4,,,,,
330,25.4,,,,,
340,25.4,,,,,
350,25.4,,,,,
360,25.5,,,,,
370,25.5,,,,,
380,26.1,,,,,
390,28.9,,,,,
400,28.8,,,,,
410,26.2,,,,,
420,25.7,,,,,
430,25.7,,,,,
440,25.7,,,,,
450,25.8,,,,,
460,25.8,,,,,
470,25.8,,,,,
480,25.7,,,,,
490,26,,,,,
500,28.1,,,,,
510,30.6,,,,,
520,26.9,,,,,
530,25.9,,,,,
540,25.9,,,,,
550,26,,,,,
560,26.1,,,,,
570,26,,,,,
580,25.9,,,,,
590,26.1,,,,,
600,26.3,,,,,
610,27.6,,,,,
620,31.8,,,,,
630,27.8,,,,,
640,26.4,,,,,
650,26.3,,,,,
660,26.3,,,,,
670,26.2,,,,,
680,26.2,,,,,
690,26.3,,,,,
700,26.4,,,,,
710,26.4,,,,,
720,27.1,,,,,
730,30.4,,,,,
740,29,,,,,
750,26.8,,,,,
760,26.5,,,,,
770,26.5,,,,,
780,26.5,,,,,
790,26.5,,,,,
800,26.6,,,,,
810,26.6,,,,,
820,26.6,,,,,
830,27,,,,,
840,29.5,,,,,
850,30.5,,,,,
860,27.5,,,,,
870,26.7,,,,,
880,26.7,,,,,
890,26.8,,,,,
